Title1,Title2,Description,EAN,Brand,Name,Year,Display_Type,Swiss_Made,Water_Resistance,Dial_Color,Hand_Colors,Case_Code,Diameter,Case_Thickness,Case_Material,Case_Shape,Case_Color,Back_Case_Material,Back_Case,Material_Crystal,Crown,Movement_Part_Nr,Movement_Brand,Swiss_Movement,Mechanism,Battery,Battery_URL,Battery_Life,Hackable,Skeletonized,Strap_Width,Strap_Material,Lug_Width,Band_Width_At_Clasp,Band_Color,Clasp_Type,Clasp_Color,Color_Stitching,Length_Band_At_12_Clock,Length_Band_At_6_Clock,Band_Sizing_By_HWG,Mount_Type,Straight_Strap_Mount,Suitable_For_Wrist_Size,Original_Strap,Image_Link,URL,Price_Range
Daniel Wellington Classic DW00100162 Petite Sterling Watch,Fashion watch with milanese bracelet,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068245213,Daniel Wellington,Petite Sterling,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),Black,"Silver, Silver",DW00100162,32 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,14 mm,Stainless steel,14 mm,,Silver,Milanese clasp,Silver,,,,No,Pushpins,Yes,150 mm - 205 mm,Strap Daniel Wellington DW00200140,https://www.mastersintime.com/pictures/daniel-wellington-dw00100162-petite-sterling-18416270.jpg,https://www.mastersintime.com/daniel-wellington-petite-sterling-fashion-watch-with-milanese-bracelet-dw00100162.htm,$194.-
Casio Edifice Classic  EFV-100D-2BVUEF Watch,Steel Gents Watch with Date,This Casio Edifice watch has a case made of stainless steel with a diameter of 42 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526382918,Casio Edifice,EFV-100,2024 Fall / Winter,Analog,No,10 Bar (Swim),Light Blue,"Silver, Silver, Silver",EFV-100,42 mm,10.9 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Screw crown,5507 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R395 395 / SR927SW Battery,,36 months,No,No,20 mm,Stainless steel,20 mm,18 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,160 mm - 220 mm,Strap Casio Edifice 10563062,https://www.mastersintime.com/pictures/casio-edifice-efv-100d-2bvuef-efv-100-16595198.jpg,https://www.mastersintime.com/casio-edifice-efv-100-steel-gents-watch-with-date-efv-100d-2bvuef.htm,$118.-
Casio Edifice Classic  EFR-552D-1AVUEF Sports Edition Watch,Steel Quartz Sports Chronograph,This Casio Edifice watch has a case made of stainless steel with a diameter of 47 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526113833,Casio Edifice,Sports Edition,2016 Spring / Summer,,No,10 Bar (Swim),Black,"Silver, Silver, Red",EFR-552D,47 mm,12.3 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,5490 ( See specifications ) Download manual (English),Casio,,quartz,,,,Yes,,22 mm,Stainless steel,22 mm,20 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/casio-edifice-efr-552d-1avuef-efr-552d-1avuef-3783251.jpg,https://www.mastersintime.com/casio-edifice-sports-edition-steel-quartz-sports-chronograph-efr-552d-1avuef.htm,$140.-
Daniel Wellington Classic DW00100175 Petite St Mawes Watch,Rose Gold Ladies Quartz Watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a leather band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068245343,Daniel Wellington,Petite St Mawes,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100175,32 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,14 mm,Leather,14 mm,13 mm,Brown,Buckle,Rose gold,Brown,,,No,Pushpins,Yes,125 mm - 185 mm,Strap Daniel Wellington DW00200145,https://www.mastersintime.com/pictures/daniel-wellington-dw00100175-petite-st-mawes-18416630.jpg,https://www.mastersintime.com/daniel-wellington-petite-st-mawes-rose-gold-ladies-quartz-watch-dw00100175.htm,$175.-
Casio Edifice Classic  EFS-S510D-1AVUEF Premium Watch,Gents Solar Power watch with Date,This Casio Edifice watch has a case made of stainless steel with a diameter of 46.1 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Sapphire crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526176159,Casio Edifice,Premium,2018 Spring / Summer,Analog,No,10 Bar (Swim),Black,"Glow, Glow, Silver",EFS-S510,46.1 mm,11.8 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Sapphire,Pull crown,5529 ( See specifications ) Download manual (English),Casio,No,Solar Quartz,Solar rechargeable battery,,5 months,Yes,No,22 mm,Stainless steel,22 mm,,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,160 mm - 220 mm,Strap Casio Edifice 10559424,https://www.mastersintime.com/pictures/casio-edifice-edifice-premium-efs-s510d-1avuef-8654876.jpg,https://www.mastersintime.com/casio-edifice-premium-gents-solar-power-watch-with-date-efs-s510d-1avuef.htm,$234.-
Daniel Wellington Classic DW00100007 Watch,Rose Gold & Black Gents Quartz Watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068240072,Daniel Wellington,Classic,2017 Spring / Summer,Analog,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100007,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,20 mm,Leather,20 mm,20 mm,Black,Buckle,Rose gold,,,,No,Pushpins,Yes,160 mm - 220 mm,Strap Daniel Wellington DW00200007,https://www.mastersintime.com/pictures/daniel-wellington-dw00100007-classic-18414506.jpg,https://www.mastersintime.com/daniel-wellington-classic-rose-gold-black-gents-quartz-watch-dw00100007.htm,$199.-
Casio Edifice Bluetooth ECB-30D-2A Watch,Analog-digital chronograph with smartphone link,"Sports car-inspired mechanical design: A high-performance digital-analogue timepiece with Smartphone Link. The stainless-steel exterior exudes strength and solidity. The mechanical face design evokes a sports car. Just sync with smartphone apps for intuitive control of a range of functions, from adjusting the time to managing schedules and even watching motorsports events.This Casio Edifice watch has a case made of stainless steel with a diameter of 46 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .",4549526322433,Casio Edifice,Bluetooth,2022 Spring / Summer,Analog - Digital,No,10 Bar (Swim),Blue,"White, White",ECB-30D,46 mm,13 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,5686 ( See specifications ) Download manual (English),Casio,No,quartz,Renata CR2016 Battery,,24 months,No,No,22 mm,Stainless steel,22 mm,20 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,160 mm - 220 mm,Strap Casio Edifice 10640163,https://www.mastersintime.com/pictures/casio-edifice-ecb-30d-2aef-bluetooth-15499349.jpg,https://www.mastersintime.com/casio-edifice-bluetooth-analog-digital-chronograph-with-smartphone-link-ecb-30d-2a.htm,$175.-
Daniel Wellington Classic DW00100163 Petite Melrose Watch,Fashion watch with milanese bracelet,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068245220,Daniel Wellington,Petite Melrose,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100163,32 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,14 mm,Stainless steel,14 mm,,Rose gold,Milanese clasp,Rose gold,,,,No,Pushpins,Yes,150 mm - 205 mm,Strap Daniel Wellington DW00200139,https://www.mastersintime.com/pictures/daniel-wellington-dw00100163-petite-melrose-18416294.jpg,https://www.mastersintime.com/daniel-wellington-petite-melrose-fashion-watch-with-milanese-bracelet-dw00100163.htm,$194.-
Daniel Wellington Classic DW00100127 Classic Sheffield Watch,Black & Rose Gold Watch with Black Leather Strap,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068244568,Daniel Wellington,Classic Sheffield,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),Black,"Rose gold, Rose gold",DW00100127,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,20 mm,Leather,20 mm,20 mm,Black,Buckle,Rose gold,Black,,,No,Pushpins,Yes,160 mm - 220 mm,Strap Daniel Wellington DW00200007,https://www.mastersintime.com/pictures/daniel-wellington-dw00100127-classic-sheffield-18415583.jpg,https://www.mastersintime.com/daniel-wellington-classic-sheffield-black-rose-gold-watch-with-black-leather-strap-dw00100127.htm,$199.-
Daniel Wellington Classic DW00100133 Classic Sheffield Watch,Steel Quartz Watch with Black Leather Strap,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068244629,Daniel Wellington,Classic Sheffield,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),Black,"Silver, Silver",DW00100133,40 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,20 mm,Leather,20 mm,20 mm,Black,Buckle,Silver,Black,,,No,Pushpins,Yes,160 mm - 210 mm,Strap Daniel Wellington DW00200020,https://www.mastersintime.com/pictures/daniel-wellington-dw00100133-classic-sheffield-18415730.jpg,https://www.mastersintime.com/daniel-wellington-classic-sheffield-steel-quartz-watch-with-black-leather-strap-dw00100133.htm,$199.-
Daniel Wellington Quadro DW00100846 Quadro Mini Reflection Sterling Watch,Elegant extra small rectangular quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077803,Daniel Wellington,Quadro Mini Reflection Sterling,2025 Fall / Winter,,No,3 Bar (Wash hands),Blue,"Silver, Silver",DW00100846,15 mm,6 mm,Stainless steel,Rectangular,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Silver,Invisible butterfly clasp,Silver,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100846-quadro-mini-reflection-sterling-18493790.jpg,https://www.mastersintime.com/daniel-wellington-quadro-mini-reflection-sterling-elegant-extra-small-rectangular-quartz-watch-dw00100846.htm,$234.-
Daniel Wellington Classic DW00100797 Petite Reflection Evergold Watch,Gold ladies quartz watch with mirror dial,This Daniel Wellington watch has a case made of stainless steel with a diameter of 28 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068320,Daniel Wellington,Petite Reflection Evergold,2025 Fall / Winter,,No,3 Bar (Wash hands),Gold,"Gold, Gold",DW00100797,28 mm,6 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,12 mm,Stainless steel,12 mm,12 mm,Gold,Milanese clasp,Gold,,,,No,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100797-18433400.jpg,https://www.mastersintime.com/daniel-wellington-petite-reflection-evergold-gold-ladies-quartz-watch-with-mirror-dial-dw00100797.htm,$194.-
Casio Edifice Classic  EFR-552D-1A2VUEF Sports Edition Watch,Steel Quartz Sports Chronograph,This Casio Edifice watch has a case made of stainless steel with a diameter of 47 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526113819,Casio Edifice,Sports Edition,2016 Spring / Summer,,No,10 Bar (Swim),Blue,"Blue, Blue, Red",EFR-552D,47 mm,12.3 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,5490 ( See specifications ) Download manual (English),Casio,,quartz,,,,Yes,,22 mm,Stainless steel,22 mm,20 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,160 mm - 220 mm,Strap Casio Edifice 10516586,https://www.mastersintime.com/pictures/casio-edifice-efr-552d-1a2vuef-efr-552d-1a2vuef-3621431.jpg,https://www.mastersintime.com/casio-edifice-sports-edition-steel-quartz-sports-chronograph-efr-552d-1a2vuef.htm,$140.-
Daniel Wellington Iconic DW00100879 Margot Watch,Elegant quartz watch with rounded rectangular case,This Daniel Wellington watch has a case made of stainless steel with a diameter of 24 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078138,Daniel Wellington,Margot,2025 Fall / Winter,,No,3 Bar (Wash hands),Rose gold,"Rose gold, Rose gold",DW00100879,24 mm,8 mm,Stainless steel,Cushion,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Leather,14 mm,13 mm,Black,Buckle,Rose gold,Black,,,No,Pushpins,Yes,150 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100879-margot-18496070.jpg,https://www.mastersintime.com/daniel-wellington-margot-elegant-quartz-watch-with-rounded-rectangular-case-dw00100879.htm,$171.-
Daniel Wellington Elan DW00100719 Elan Unitone Watch,Extra small elegant quartz watch with crystal indices,This Daniel Wellington watch has a case made of stainless steel with a diameter of 22 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030055849,Daniel Wellington,Elan Unitone,2024 Spring / Summer,,No,3 Bar (Wash hands),Silver,"Silver, Silver",DW00100719,22 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,8 mm,Stainless steel,2 mm,8 mm,Silver,Butterfly clasp with push buttons,Silver,,,,Yes,Saddle screw,No,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100719-elan-18426956.jpg,https://www.mastersintime.com/daniel-wellington-elan-unitone-extra-small-elegant-quartz-watch-with-crystal-indices-dw00100719.htm,$153.-
Daniel Wellington Ophelia DW00100811 Ophelia Mini Watch,Oval Ladies Quartz Watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 22 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068467,Daniel Wellington,Ophelia Mini,2025 Spring / Summer,,No,3 Bar (Wash hands),White,"Gold, Gold",DW00100811,22 mm,6 mm,Stainless steel,Oval,Bicolor,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,10 mm,Stainless steel,10 mm,10 mm,Bicolor,Butterfly clasp with push buttons,Gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100811-ophelia-mini-18430100.jpg,https://www.mastersintime.com/daniel-wellington-ophelia-mini-oval-ladies-quartz-watch-dw00100811.htm,$234.-
